,Owner,Team,League,Recipient,Amount,Election Year,Party
665,David Bonderman,Seattle Kraken,NHL,LEAGUE OF CONSERVATION VOTERS ACTION FUND,5000,2020,Democrat
666,David Bonderman,Seattle Kraken,NHL,COLIN ALLRED FOR CONGRESS,2800,2020,Democrat
667,David Bonderman,Seattle Kraken,NHL,CORY 2020,2800,2020,Democrat
668,David Bonderman,Seattle Kraken,NHL,CRY FREEDOM PAC,2800,2020,Democrat
669,David Bonderman,Seattle Kraken,NHL,DONNA SHALALA FOR CONGRESS,2800,2020,Democrat
670,David Bonderman,Seattle Kraken,NHL,DOUG JONES FOR SENATE COMMITTEE,2800,2020,Democrat
671,David Bonderman,Seattle Kraken,NHL,DR KIM SCHRIER FOR CONGRESS,2800,2020,Democrat
672,David Bonderman,Seattle Kraken,NHL,ELIZABETH PANNILL FLETCHER FOR CONGRESS,2800,2020,Democrat
673,David Bonderman,Seattle Kraken,NHL,HIRAL FOR CONGRESS,2800,2020,Democrat
674,David Bonderman,Seattle Kraken,NHL,MARC VEASEY CONGRESSIONAL CAMPAIGN COMMITTEE,2800,2020,Democrat
675,David Bonderman,Seattle Kraken,NHL,NEVADANS FOR STEVEN HORSFORD,2800,2020,Democrat
676,David Bonderman,Seattle Kraken,NHL,PEOPLE FOR BEN,2800,2020,Democrat
677,David Bonderman,Seattle Kraken,NHL,PETERS FOR MICHIGAN,2800,2020,Democrat
678,David Bonderman,Seattle Kraken,NHL,STANTON FOR CONGRESS,2800,2020,Democrat
679,David Bonderman,Seattle Kraken,NHL,TERRI SEWELL FOR CONGRESS,2800,2020,Democrat
680,David Bonderman,Seattle Kraken,NHL,THE MARKEY COMMITTEE,2800,2020,Democrat
681,David Bonderman,Seattle Kraken,NHL,WIN THE ERA PAC,2800,2020,Democrat
682,David Bonderman,Seattle Kraken,NHL,GEORGE HOLDING FOR CONGRESS INC.,2700,2020,Republican
683,David Bonderman,Seattle Kraken,NHL,GENERATION GO LEADERSHIP PAC,2500,2020,Democrat
684,David Bonderman,Seattle Kraken,NHL,BLUE DOG POLITICAL ACTION COMMITTEE,2000,2020,Democrat
685,David Bonderman,Seattle Kraken,NHL,GEORGIANS FOR ISAKSON,1000,2020,Republican
686,David Bonderman,Seattle Kraken,NHL,KAY GRANGER CAMPAIGN FUND,1000,2020,Republican
687,David Bonderman,Seattle Kraken,NHL,DOGGETT FOR CONGRESS,1000,2020,Democrat
688,David Bonderman,Seattle Kraken,NHL,TED DEUTCH FOR CONGRESS COMMITTEE,1000,2020,Democrat
689,David Bonderman,Seattle Kraken,NHL,DEBBIE WASSERMAN SCHULTZ FOR CONGRESS,500,2020,Democrat
690,Dawn Trudeau,Seattle Storm,WNBA,HILLARY VICTORY FUND,4700,2016,Democrat
691,Dawn Trudeau,Seattle Storm,WNBA,FLIP WA BLUE 2018,3000,2018,Democrat
692,Dawn Trudeau,Seattle Storm,WNBA,FRIENDS OF BRADY WALKINSHAW,2000,2016,Democrat
693,Dawn Trudeau,Seattle Storm,WNBA,ACTBLUE,550,2020,Democrat
694,Dawn Trudeau,Seattle Storm,WNBA,DELBENE FOR CONGRESS,500,2018,Democrat
695,Dawn Trudeau,Seattle Storm,WNBA,MURRAY VICTORY FUND,250,2016,Democrat
696,Dawn Trudeau,Seattle Storm,WNBA,ACTBLUE,120,2016,Democrat
697,Dawn Trudeau,Seattle Storm,WNBA,ACTBLUE,100,2018,Democrat
698,Dean A. Spanos,Los Angeles Chargers,NFL,TAKE BACK THE HOUSE 2020,37500,2020,Republican
699,Dean A. Spanos,Los Angeles Chargers,NFL,GRIDIRON-PAC,10000,2016,Bipartisan
700,Dean A. Spanos,Los Angeles Chargers,NFL,GRIDIRON-PAC,10000,2018,Bipartisan
701,Dean A. Spanos,Los Angeles Chargers,NFL,WINRED,5620,2020,Republican
702,Dean A. Spanos,Los Angeles Chargers,NFL,MICHELLE STEEL FOR CONGRESS,5600,2020,Republican
703,Dean A. Spanos,Los Angeles Chargers,NFL,"STREICKER FOR CONGRESS, INC.",5600,2020,Republican
704,Dean A. Spanos,Los Angeles Chargers,NFL,FRIENDS OF JOE HECK,5400,2016,Republican
705,Dean A. Spanos,Los Angeles Chargers,NFL,ISSA FOR CONGRESS,5000,2016,Republican
706,Dean A. Spanos,Los Angeles Chargers,NFL,RICKPAC,5000,2016,Republican
707,Dean A. Spanos,Los Angeles Chargers,NFL,DARRELL ISSA VICTORY FUND,5000,2018,Republican
708,Dean A. Spanos,Los Angeles Chargers,NFL,GRIDIRON-PAC,5000,2020,Bipartisan
709,Dean A. Spanos,Los Angeles Chargers,NFL,FRIENDS OF KELLY AYOTTE INC,2700,2016,Republican
710,Dean A. Spanos,Los Angeles Chargers,NFL,"JEB 2016, INC.",2700,2016,Republican
711,Dean A. Spanos,Los Angeles Chargers,NFL,PERRY FOR PRESIDENT INC,2700,2016,Republican
712,Dean A. Spanos,Los Angeles Chargers,NFL,DARRELL ISSA VICTORY FUND,2500,2016,Republican
713,Dean A. Spanos,Los Angeles Chargers,NFL,HECK YES! VICTORY FUND,2500,2016,Republican
714,Dean A. Spanos,Los Angeles Chargers,NFL,TARKANIAN FOR CONGRESS,2000,2016,Republican
715,Dean A. Spanos,Los Angeles Chargers,NFL,BOUSTANY FOR SENATE INC,1000,2016,Republican
716,Dean A. Spanos,Los Angeles Chargers,NFL,TED HOWZE FOR CONGRESS 2020,1000,2020,Republican
717,Dean A. Spanos,Los Angeles Chargers,NFL,NICOLE FOR NEW YORK,500,2020,Republican
718,Dean A. Spanos,Los Angeles Chargers,NFL,BOB ELLIOTT FOR CONGRESS,250,2020,Republican
719,Dean A. Spanos,Los Angeles Chargers,NFL,MARLA LIVENGOOD FOR CONGRESS 2020,250,2020,Republican
720,Dean A. Spanos,Los Angeles Chargers,NFL,MCNERNEY FOR CONGRESS,250,2020,Democrat
721,Denise DeBartolo York,San Francisco 49ers,NFL,TIM RYAN FOR CONGRESS,5000,2016,Democrat
722,Denise DeBartolo York,San Francisco 49ers,NFL,TIM RYAN FOR CONGRESS,5000,2018,Democrat
723,Denise DeBartolo York,San Francisco 49ers,NFL,TIM RYAN FOR CONGRESS,2800,2020,Democrat
724,Denise DeBartolo York,San Francisco 49ers,NFL,TIM RYAN FOR AMERICA,2700,2020,Democrat
725,Denise DeBartolo York,San Francisco 49ers,NFL,FRIENDS OF SHERROD BROWN,2500,2018,Democrat
726,Denise DeBartolo York,San Francisco 49ers,NFL,CITIZENS FOR MICHAEL WAGER,500,2016,Democrat
727,Denise DeBartolo York,San Francisco 49ers,NFL,HILLARY FOR AMERICA,500,2016,Democrat
728,E. Stanley Kroenke and Ann Kroenke,"Denver Nuggets, Los Angeles Rams, Colorado Avalanche","NBA, NFL, NHL",HILLARY VICTORY FUND,100000,2016,Democrat
729,E. Stanley Kroenke and Ann Kroenke,"Denver Nuggets, Los Angeles Rams, Colorado Avalanche","NBA, NFL, NHL",NRSC,33400,2016,Republican
730,E. Stanley Kroenke and Ann Kroenke,"Denver Nuggets, Los Angeles Rams, Colorado Avalanche","NBA, NFL, NHL",GRIDIRON-PAC,15000,2016,Bipartisan
731,Edward Glazer,Tampa Bay Buccaneers,NFL,REPUBLICAN NATIONAL COMMITTEE,152105,2018,Republican
732,Edward Glazer,Tampa Bay Buccaneers,NFL,TRUMP VICTORY,50000,2016,Republican
733,Edward Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,5000,2016,Bipartisan
734,Edward Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,5000,2018,Bipartisan
735,Edward Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,5000,2020,Bipartisan
736,Edward Glazer,Tampa Bay Buccaneers,NFL,ELISE FOR CONGRESS,2800,2020,Republican
737,Edward Glazer,Tampa Bay Buccaneers,NFL,WINRED,2800,2020,Republican
738,Edward Glazer,Tampa Bay Buccaneers,NFL,COMSTOCK FOR CONGRESS,2700,2018,Republican
739,Edward Glazer,Tampa Bay Buccaneers,NFL,DENHAM FOR CONGRESS,2700,2018,Republican
740,Edward Glazer,Tampa Bay Buccaneers,NFL,HURD FOR CONGRESS,2700,2018,Republican
741,Edward Glazer,Tampa Bay Buccaneers,NFL,LEA MARQUEZ PETERSON FOR CONGRESS,2700,2018,Republican
742,Edward Glazer,Tampa Bay Buccaneers,NFL,STEVE KNIGHT FOR CONGRESS,2700,2018,Republican
743,Edward Glazer,Tampa Bay Buccaneers,NFL,YOUNG KIM FOR CONGRESS,2700,2018,Republican
744,Edward P. Roski Jr.,Los Angeles Kings,NHL,TEAM RYAN,52700,2018,Republican
745,Edward P. Roski Jr.,Los Angeles Kings,NHL,MCCONNELL VICTORY COMMITTEE,50000,2020,Republican
746,Edward P. Roski Jr.,Los Angeles Kings,NHL,NRSC,50000,2020,Republican
747,Edward P. Roski Jr.,Los Angeles Kings,NHL,MCCARTHY VICTORY FUND,38400,2016,Republican
748,Edward P. Roski Jr.,Los Angeles Kings,NHL,NRSC,35000,2018,Republican
749,Edward P. Roski Jr.,Los Angeles Kings,NHL,TEAM RYAN,25000,2016,Republican
750,Edward P. Roski Jr.,Los Angeles Kings,NHL,MCCAIN-AYOTTE JOINT VICTORY COMMITTEE,10800,2016,Republican
751,Edward P. Roski Jr.,Los Angeles Kings,NHL,BOEHNER FOR SPEAKER,10000,2016,Republican
752,Edward P. Roski Jr.,Los Angeles Kings,NHL,SOUTHERN CALIFORNIA FUND,10000,2016,Democrat
753,Edward P. Roski Jr.,Los Angeles Kings,NHL,REPUBLICAN PARTY OF WISCONSIN,10000,2018,Republican
754,Edward P. Roski Jr.,Los Angeles Kings,NHL,GARDNER VICTORY COMMITTEE,5600,2020,Republican
755,Edward P. Roski Jr.,Los Angeles Kings,NHL,MCSALLY SENATE VICTORY FUND 2020,5600,2020,Republican
756,Edward P. Roski Jr.,Los Angeles Kings,NHL,TAYLOR FOR CONGRESS 2020,5600,2020,Republican
757,Edward P. Roski Jr.,Los Angeles Kings,NHL,TEXANS FOR SENATOR JOHN CORNYN INC.,5600,2020,Republican
758,Edward P. Roski Jr.,Los Angeles Kings,NHL,BOOZMAN FOR ARKANSAS,5400,2016,Republican
759,Edward P. Roski Jr.,Los Angeles Kings,NHL,LIZ CHENEY FOR WYOMING,5400,2016,Republican
760,Edward P. Roski Jr.,Los Angeles Kings,NHL,COMMITTEE TO RE-ELECT LORETTA SANCHEZ,5400,2016,Democrat
761,Edward P. Roski Jr.,Los Angeles Kings,NHL,LOU CORREA FOR CONGRESS,5400,2016,Democrat
762,Edward P. Roski Jr.,Los Angeles Kings,NHL,NORMA TORRES FOR CONGRESS,5400,2016,Democrat
763,Edward P. Roski Jr.,Los Angeles Kings,NHL,SHERMAN FOR CONGRESS,5400,2016,Democrat
764,Edward P. Roski Jr.,Los Angeles Kings,NHL,CRAMER FOR SENATE,5400,2018,Republican
765,Edward P. Roski Jr.,Los Angeles Kings,NHL,MCSALLY FOR SENATE INC,5400,2018,Republican
766,Edward P. Roski Jr.,Los Angeles Kings,NHL,MCSALLY SENATE VICTORY FUND,5400,2018,Republican
767,Edward P. Roski Jr.,Los Angeles Kings,NHL,MIMI WALTERS VICTORY FUND,5400,2018,Republican
768,Edward P. Roski Jr.,Los Angeles Kings,NHL,HELLER FOR SENATE,5200,2016,Republican
769,Edward P. Roski Jr.,Los Angeles Kings,NHL,"LEADERSHIP MATTERS FOR AMERICA PAC, INC.",5000,2016,Republican
770,Edward P. Roski Jr.,Los Angeles Kings,NHL,LEADING ORANGE COUNTY PAC,5000,2016,Democrat
771,Edward P. Roski Jr.,Los Angeles Kings,NHL,THE REAL ESTATE ROUNDTABLE POLITICAL ACTION COMMITTEE (REALPAC),5000,2018,Bipartisan
772,Edward P. Roski Jr.,Los Angeles Kings,NHL,PERDUE VICTORY INC,5000,2020,Republican
773,Edward P. Roski Jr.,Los Angeles Kings,NHL,THE REAL ESTATE ROUNDTABLE POLITICAL ACTION COMMITTEE (REALPAC),5000,2020,Bipartisan
774,Edward P. Roski Jr.,Los Angeles Kings,NHL,DUNCAN D. HUNTER FOR CONGRESS,2800,2020,Republican
775,Edward P. Roski Jr.,Los Angeles Kings,NHL,FRIENDS OF MATT GAETZ,2800,2020,Republican
776,Edward P. Roski Jr.,Los Angeles Kings,NHL,GREG RATHS FOR CONGRESS 2020,2800,2020,Republican
777,Edward P. Roski Jr.,Los Angeles Kings,NHL,TED LIEU FOR CONGRESS,2700,2016,Democrat
778,Edward P. Roski Jr.,Los Angeles Kings,NHL,BAUGH FOR CONGRESS,2700,2018,Republican
779,Edward P. Roski Jr.,Los Angeles Kings,NHL,LOU CORREA FOR CONGRESS,2700,2018,Democrat
780,Edward P. Roski Jr.,Los Angeles Kings,NHL,TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,2600,2016,Democrat
781,Edward P. Roski Jr.,Los Angeles Kings,NHL,LUCILLE ROYBAL-ALLARD FOR CONGRESS,2500,2016,Democrat
782,Edward P. Roski Jr.,Los Angeles Kings,NHL,ROHRABACHER FOR CONGRESS,2500,2018,Republican
783,Edward P. Roski Jr.,Los Angeles Kings,NHL,MARIO DIAZ-BALART FOR CONGRESS,1500,2018,Republican
784,Edward P. Roski Jr.,Los Angeles Kings,NHL,BILL SHUSTER FOR CONGRESS,1000,2016,Republican
785,Edward P. Roski Jr.,Los Angeles Kings,NHL,JUSTIN FAREED FOR CONGRESS,1000,2016,Republican
786,Edward P. Roski Jr.,Los Angeles Kings,NHL,RON JOHNSON FOR SENATE INC,1000,2016,Republican
787,Edward P. Roski Jr.,Los Angeles Kings,NHL,JUSTIN FAREED FOR CONGRESS,1000,2018,Republican
788,Edward P. Roski Jr.,Los Angeles Kings,NHL,NORMA TORRES FOR CONGRESS,1000,2018,Democrat
789,Edward P. Roski Jr.,Los Angeles Kings,NHL,BONAMICI FOR CONGRESS,500,2018,Democrat
790,Fred Wilpon,New York Mets,MLB,AMERICA LEADS,100000,2016,Republican
791,Fred Wilpon,New York Mets,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,6667,2018,Bipartisan
792,Fred Wilpon,New York Mets,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,6667,2016,Bipartisan
793,Fred Wilpon,New York Mets,MLB,STEVE ISRAEL FOR CONGRESS COMMITTEE,5400,2016,Democrat
794,Fred Wilpon,New York Mets,MLB,KOHL FOR CONGRESS,5400,2018,Democrat
795,Fred Wilpon,New York Mets,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,3333,2020,Bipartisan
796,Fred Wilpon,New York Mets,MLB,MEEKS VICTORY FUND,3032,2020,Democrat
797,Fred Wilpon,New York Mets,MLB,TEAM RICK SCOTT,2997,2020,Republican
798,Fred Wilpon,New York Mets,MLB,SUOZZI VICTORY FUND,2938,2018,Democrat
799,Fred Wilpon,New York Mets,MLB,CROWLEY LEADERSHIP FUND,2772,2018,Democrat
800,Fred Wilpon,New York Mets,MLB,CHRIS CHRISTIE FOR PRESIDENT INC.,2700,2016,Republican
801,Fred Wilpon,New York Mets,MLB,CROWLEY LEADERSHIP FUND,1768,2016,Democrat
802,Fred Wilpon,New York Mets,MLB,ENGEL FOR CONGRESS,1518,2018,Democrat
803,Fred Wilpon,New York Mets,MLB,SUOZZI FOR CONGRESS,1400,2016,Democrat
804,Fred Wilpon,New York Mets,MLB,PETE KING FOR CONGRESS COMMITTEE,1000,2016,Republican
805,Fred Wilpon,New York Mets,MLB,CHARLIE CRIST FOR CONGRESS,1000,2018,Democrat
806,Fred Wilpon,New York Mets,MLB,DONOVAN FOR CONGRESS,280,2016,Republican
807,Gail Miller,Utah Jazz,NBA,UTAH REPUBLICAN PARTY,10000,2016,Republican
808,Gail Miller,Utah Jazz,NBA,BELIEVE IN UTAH JOINT FUNDRAISING COMMITTEE,10000,2020,Republican
809,Gail Miller,Utah Jazz,NBA,UTAH REPUBLICAN PARTY,10000,2020,Republican
810,Gail Miller,Utah Jazz,NBA,AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,10000,2020,"Bipartisan, but mostly Republican"
811,Gail Miller,Utah Jazz,NBA,FRIENDS OF BEN MCADAMS,5600,2020,Democrat
812,Gail Miller,Utah Jazz,NBA,"JEB 2016, INC.",5400,2016,Republican
813,Gail Miller,Utah Jazz,NBA,ROMNEY FOR UTAH INC,5400,2018,Republican
814,Gail Miller,Utah Jazz,NBA,FRIENDS OF BEN MCADAMS,5400,2018,Democrat
815,Gail Miller,Utah Jazz,NBA,AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,5000,2016,"Bipartisan, but mostly Republican"
816,Gail Miller,Utah Jazz,NBA,AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,5000,2018,"Bipartisan, but mostly Republican"
817,Gail Miller,Utah Jazz,NBA,CURTIS FOR CONGRESS,2800,2020,Republican
818,Gail Miller,Utah Jazz,NBA,"FRIENDS FOR CHRIS STEWART, INC.",2800,2020,Republican
819,Gail Miller,Utah Jazz,NBA,CURTIS FOR CONGRESS,2500,2018,Republican
820,Gail Miller,Utah Jazz,NBA,FRIENDS OF MIA LOVE,2500,2018,Republican
821,Gail Miller,Utah Jazz,NBA,UTAH STATE DEMOCRATIC COMMITTEE,2500,2018,Democrat
822,Gail Miller,Utah Jazz,NBA,NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,2500,2020,"Bipartisan, but mostly Republican"
823,Gail Miller,Utah Jazz,NBA,BLAKE MOORE FOR CONGRESS,1500,2020,Republican
824,Gail Miller,Utah Jazz,NBA,FRIENDS OF MIKE LEE INC,1000,2016,Republican
825,Gail Miller,Utah Jazz,NBA,"THE NATIONAL ASSOCIATION OF PROFESSIONAL BASEBALL LEAGUES, INC. PAC, (MINOR LEAGUE BASEBALL PAC)",1000,2018,Bipartisan
826,Gail Miller,Utah Jazz,NBA,FRIENDS OF KERRY W. GIBSON,1000,2020,Republican
827,Gail Miller,Utah Jazz,NBA,"THE NATIONAL ASSOCIATION OF PROFESSIONAL BASEBALL LEAGUES, INC. PAC, (MINOR LEAGUE BASEBALL PAC)",1000,2020,Bipartisan
828,Gary Bettman,Commissioner,NHL,MOULTON FOR CONGRESS,1000,2016,Democrat
829,Gayle Benson,"New Orleans Pelicans, New Orleans Saints","NBA, NFL","JEB 2016, INC.",2700,2016,Republican
830,Gene Haas,Stewart Haas Racing,NASCAR,JULIA BROWNLEY FOR CONGRESS,5600,2020,Democrat
831,Gene Haas,Stewart Haas Racing,NASCAR,JULIA BROWNLEY FOR CONGRESS,5400,2016,Democrat
832,Gene Haas,Stewart Haas Racing,NASCAR,JULIA BROWNLEY FOR CONGRESS,5400,2018,Democrat
833,George H. McCaskey,Chicago Bears,NFL,GRIDIRON-PAC,5000,2016,Bipartisan
834,George H. McCaskey,Chicago Bears,NFL,GRIDIRON-PAC,5000,2018,Bipartisan
835,George H. McCaskey,Chicago Bears,NFL,GRIDIRON-PAC,5000,2020,Bipartisan
836,Ginny Gilder,Seattle Storm,WNBA,DEMOCRATIC PARTY OF WISCONSIN,7000,2020,Democrat
837,Ginny Gilder,Seattle Storm,WNBA,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,7000,2020,Democrat
838,Ginny Gilder,Seattle Storm,WNBA,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,7000,2020,Democrat
839,Ginny Gilder,Seattle Storm,WNBA,OHIO DEMOCRATIC PARTY,7000,2020,Democrat
840,Ginny Gilder,Seattle Storm,WNBA,WASHINGTON STATE DEMOCRATIC CENTRAL COMMITTEE,7000,2020,Democrat
841,Ginny Gilder,Seattle Storm,WNBA,HILLARY FOR AMERICA,2700,2016,Democrat
842,Ginny Gilder,Seattle Storm,WNBA,JON OSSOFF FOR CONGRESS,500,2018,Democrat
843,Ginny Gilder,Seattle Storm,WNBA,CORY 2020,250,2020,Democrat
844,Ginny Gilder,Seattle Storm,WNBA,ACTBLUE,100,2018,Democrat
845,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",SAVE OUR SENATE COMMITTEE,13500,2016,Republican
846,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",ALASKANS FOR DAN SULLIVAN,5600,2020,Republican
847,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",COLLINS FOR SENATOR,5600,2020,Republican
848,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",CORY GARDNER FOR SENATE,5600,2020,Republican
849,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA","JOHN JAMES FOR SENATE, INC.",5600,2020,Republican
850,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",MCSALLY FOR SENATE INC,5600,2020,Republican
851,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",PERDUE FOR SENATE,5600,2020,Republican
852,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",STEVE DAINES FOR MONTANA,5600,2020,Republican
853,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",THOM TILLIS COMMITTEE,5600,2020,Republican
854,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",ERNST VICTORY IOWA,2800,2020,Republican
855,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",FRIENDS OF JOE HECK,2700,2016,Republican
856,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",FRIENDS OF KELLY AYOTTE INC,2700,2016,Republican
857,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",FRIENDS OF PAT TOOMEY,2700,2016,Republican
858,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",JOHN KENNEDY FOR US,2700,2016,Republican
859,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",KIRK FOR SENATE,2700,2016,Republican
860,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",MARCO RUBIO FOR SENATE 2016,2700,2016,Republican
861,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",PORTMAN FOR SENATE COMMITTEE,2700,2016,Republican
862,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",RON JOHNSON FOR SENATE INC,2700,2016,Republican
863,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",THE RICHARD BURR COMMITTEE,2700,2016,Republican
864,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",CITIZENS FOR JOSH MANDEL INC,2700,2018,Republican
865,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",CRAMER FOR SENATE,2700,2018,Republican
866,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",HELLER FOR SENATE,2700,2018,Republican
867,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",HOUSLEY FOR SENATE COMMITTEE,2700,2018,Republican
868,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",JEFF FLAKE FOR US SENATE INC,2700,2018,Republican
869,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",JOSH HAWLEY FOR SENATE,2700,2018,Republican
870,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",KING FOR CONGRESS,2700,2018,Republican
871,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",MATT ROSENDALE FOR MONTANA,2700,2018,Republican
872,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",MCSALLY FOR SENATE INC,2700,2018,Republican
873,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",MIKE BRAUN FOR INDIANA,2700,2018,Republican
874,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",MORRISEY FOR SENATE INC,2700,2018,Republican
875,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",FRIENDS OF ERIK PAULSEN,2000,2018,Republican
876,Glen Taylor,"Minnesota Timberwolves, Minnesota Lynx","NBA, WNBA",FRIENDS OF HAGEDORN,2000,2018,Republican
877,Greg Johnson,San Francisco Giants,MLB,ALEX MOONEY FOR CONGRESS,5600,2020,Republican
878,Greg Johnson,San Francisco Giants,MLB,ALEX MOONEY FOR CONGRESS,5400,2018,Republican
879,Greg Johnson,San Francisco Giants,MLB,MOONEY VICTORY FUND,5000,2018,Republican
880,Greg Johnson,San Francisco Giants,MLB,MARSHA FOR SENATE,2000,2018,Republican
881,Greg Johnson,San Francisco Giants,MLB,PERDUE FOR SENATE,1000,2018,Republican
882,Greg Johnson,San Francisco Giants,MLB,TEXANS FOR SENATOR JOHN CORNYN INC.,1000,2018,Republican
883,Hal Steinbrenner,New York Yankees,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,5000,2020,Bipartisan
884,Harvey Alter,Chicago Sky,WNBA,KHAZEI FOR CONGRESS,500,2020,Democrat
885,Henry and Susan Samueli,Anaheim Ducks,NHL,PROTECT THE HOUSE,50000,2018,Republican
886,Henry and Susan Samueli,Anaheim Ducks,NHL,CALIFORNIA VICTORY 2018,35000,2018,Republican
887,Henry and Susan Samueli,Anaheim Ducks,NHL,TAKE BACK THE HOUSE 2020,25000,2020,Republican
888,Henry and Susan Samueli,Anaheim Ducks,NHL,SENATE IMPACT: MN & NV,16200,2018,Democrat
889,Henry and Susan Samueli,Anaheim Ducks,NHL,HOUSLEY FOR SENATE COMMITTEE,10800,2018,Republican
890,Henry and Susan Samueli,Anaheim Ducks,NHL,FUND FOR THE MAJORITY PAC,10000,2020,Democrat
891,Henry and Susan Samueli,Anaheim Ducks,NHL,LORETTA SANCHEZ FOR SENATE,5400,2016,Democrat
892,Henry and Susan Samueli,Anaheim Ducks,NHL,MCCONNELL FOR MAJORITY LEADER COMMITTEE,5000,2020,Republican
893,Henry and Susan Samueli,Anaheim Ducks,NHL,SHAWN NELSON FOR CONGRESS,3700,2018,Republican
894,Henry and Susan Samueli,Anaheim Ducks,NHL,BROADCOM INC. POLITICAL ACTION COMMITTEE (BROADCOM PAC),1000,2018,Bipartisan
895,Henry and Susan Samueli,Anaheim Ducks,NHL,BROADCOM INC. POLITICAL ACTION COMMITTEE (BROADCOM PAC),1000,2020,Bipartisan
896,Herbert Fritch,Nashville Predators,NHL,SMP,11100,2020,Democrat
897,Herbert Fritch,Nashville Predators,NHL,RIGHT TO RISE USA,10000,2016,Republican
898,Herbert Fritch,Nashville Predators,NHL,CIGNA CORPORATION POLITICAL ACTION COMMITTEE,9216,2016,Bipartisan
899,Herbert Fritch,Nashville Predators,NHL,COOPER FOR CONGRESS,5600,2020,Democrat
900,Herbert Fritch,Nashville Predators,NHL,HOUSLEY FOR SENATE COMMITTEE,5400,2018,Republican
901,Herbert Fritch,Nashville Predators,NHL,"MARSHA BLACKBURN FOR CONGRESS, INC.",2000,2016,Republican
902,Herbert Fritch,Nashville Predators,NHL,"LEE, SHEILA JACKSON",2000,2016,Democrat
903,Herbert Fritch,Nashville Predators,NHL,BIDEN FOR PRESIDENT,1000,2020,Democrat
904,Herbert Fritch,Nashville Predators,NHL,DCCC,1000,2020,Democrat
905,Herbert Fritch,Nashville Predators,NHL,COOPER FOR CONGRESS,500,2016,Democrat
906,Herbert Simon,"Indiana Pacers, Indiana Fever","NBA, WNBA",SMP,126900,2018,Democrat
