,Owner,Team,League,Recipient,Amount,Election Year,Party
50,Arthur J. Rooney II,Pittsburgh Steelers,NFL,BIDEN FOR PRESIDENT,5000,2020,Democrat
51,Arthur J. Rooney II,Pittsburgh Steelers,NFL,GRIDIRON-PAC,5000,2020,Bipartisan
52,Arthur J. Rooney II,Pittsburgh Steelers,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,5000,2020,Bipartisan
53,Arthur J. Rooney II,Pittsburgh Steelers,NFL,BOB CASEY FOR SENATE INC,2700,2018,Democrat
54,Arthur J. Rooney II,Pittsburgh Steelers,NFL,REDWINGMCPAC,2400,2018,Republican
55,Arthur J. Rooney II,Pittsburgh Steelers,NFL,BILL SHUSTER FOR CONGRESS,2000,2016,Republican
56,Arthur J. Rooney II,Pittsburgh Steelers,NFL,FRIENDS OF PAT TOOMEY,2000,2016,Republican
57,Arthur J. Rooney II,Pittsburgh Steelers,NFL,O'MALLEY FOR PRESIDENT,2000,2016,Democrat
58,Arthur J. Rooney II,Pittsburgh Steelers,NFL,F.N.B. CORPORATION PAC,1150,2016,Republican
59,Arthur J. Rooney II,Pittsburgh Steelers,NFL,CONOR LAMB FOR CONGRESS,1000,2020,Democrat
60,Bill Cameron,Dallas Wings,WNBA,TRUSTED LEADERSHIP PAC,25000,2016,Republican
61,Bill Cameron,Dallas Wings,WNBA,AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE,13103,2018,"Bipartisan, but mostly Republican"
62,Bill Cameron,Dallas Wings,WNBA,AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE,12138,2016,"Bipartisan, but mostly Republican"
63,Bill Cameron,Dallas Wings,WNBA,TED CRUZ VICTORY COMMITTEE,7700,2018,Republican
64,Bill Cameron,Dallas Wings,WNBA,AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE,6852,2020,"Bipartisan, but mostly Republican"
65,Bill Cameron,Dallas Wings,WNBA,LUCAS FOR CONGRESS,3687,2016,Republican
66,Bill Cameron,Dallas Wings,WNBA,HILLARY VICTORY FUND,2700,2016,Democrat
67,Bill Cameron,Dallas Wings,WNBA,BETH LINDSTROM FOR US SENATE INC,2700,2018,Republican
68,Bill Cameron,Dallas Wings,WNBA,LUCAS FOR CONGRESS,2000,2018,Republican
69,Bill Cameron,Dallas Wings,WNBA,MCSALLY FOR SENATE INC,1000,2018,Republican
70,Bill Cameron,Dallas Wings,WNBA,HERN FOR CONGRESS,1000,2020,Republican
71,Bill Cameron,Dallas Wings,WNBA,THOM TILLIS COMMITTEE,1000,2020,Republican
72,Bill Cameron,Dallas Wings,WNBA,FAMILIES FOR JAMES LANKFORD,421,2016,Republican
73,Bill Dewitt Jr.,St. Louis Cardinals,MLB,BOEHNER FOR SPEAKER,18675,2016,Republican
74,Bill Dewitt Jr.,St. Louis Cardinals,MLB,PORTMAN VICTORY COMMITTEE,15000,2016,Republican
75,Bill Dewitt Jr.,St. Louis Cardinals,MLB,MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL,10000,2016,Republican
76,Bill Dewitt Jr.,St. Louis Cardinals,MLB,PORTMAN-OHIO VICTORY COMMITTEE,5000,2016,Republican
77,Bill Dewitt Jr.,St. Louis Cardinals,MLB,THE COMMITTEE TO ELECT DELEGATES,5000,2016,Republican
78,Bill Dewitt Jr.,St. Louis Cardinals,MLB,MCCONNELL FOR MAJORITY LEADER COMMITTEE,5000,2018,Republican
79,Bill Dewitt Jr.,St. Louis Cardinals,MLB,MCCONNELL SENATE COMMITTEE ,5000,2018,Republican
80,Bill Dewitt Jr.,St. Louis Cardinals,MLB,OHIO REPUBLICAN PARTY STATE CENTRAL & EXECUTIVE COMMITTEE,5000,2018,Republican
81,Bill Dewitt Jr.,St. Louis Cardinals,MLB,PROMOTING OUR REPUBLICAN TEAM PAC,5000,2018,Republican
82,Bill Dewitt Jr.,St. Louis Cardinals,MLB,JEB 2016. INC.,2700,2016,Republican
83,Bill Dewitt Jr.,St. Louis Cardinals,MLB,"RON JOHNSON FOR SENATE, INC.",2700,2016,Republican
84,Bill Dewitt Jr.,St. Louis Cardinals,MLB,LINDSEY GRAHAM 2016,2500,2016,Republican
85,Bill Dewitt Jr.,St. Louis Cardinals,MLB,WENSTRUP FOR CONGRESS,2000,2016,Republican
86,Bill Dewitt Jr.,St. Louis Cardinals,MLB,BILL NELSON FOR US SENATE,1000,2018,Democrat
87,Bill Dewitt Jr.,St. Louis Cardinals,MLB,ALASKANS FOR DAN SULLIVAN,1000,2020,Republican
88,Bill Dewitt Jr.,St. Louis Cardinals,MLB,BRAD WENSTRUP VICTORY FUND,1000,2020,Republican
89,Bill Dewitt Jr.,St. Louis Cardinals,MLB,OHIO REPUBLICAN PARTY STATE CENTRAL & EXECUTIVE COMMITTEE,1000,2020,Republican
90,Bill Dewitt Jr.,St. Louis Cardinals,MLB,STEVE DAINES FOR MONTANA,500,2020,Republican
91,Bill Foley,Vegas Golden Knights,NHL,1820 PAC,250000,2020,Republican
92,Bill Foley,Vegas Golden Knights,NHL,TRUMP VICTORY,250000,2020,Republican
93,Bill Foley,Vegas Golden Knights,NHL,NEW REPUBLICAN PAC,206100,2018,Republican
94,Bill Foley,Vegas Golden Knights,NHL,DEFENDARIZONA,100000,2018,Republican
