Owner,Team,League,Recipient,Amount,Election Year,Party,Female
D. Cal McNair,Houston Texans,NFL,PIERCE BUSH FOR CONGRESS,2800,2020,Republican,0
Dan Snyder,Washington Football Team,NFL,RIGHT TO RISE USA,100000,2016,Republican,0
Dan Snyder,Washington Football Team,NFL,GRIDIRON-PAC,10000,2016,Bipartisan,0
Dan Snyder,Washington Football Team,NFL,COMSTOCK FOR CONGRESS,5400,2016,Republican,0
Dan Snyder,Washington Football Team,NFL,HATCH ELECTION COMMITTEE INC,5400,2016,Republican,0
Dan Snyder,Washington Football Team,NFL,GRIDIRON-PAC,5000,2018,Bipartisan,0
Dan Snyder,Washington Football Team,NFL,PORTMAN FOR SENATE COMMITTEE,2700,2016,Republican,0
Dan Snyder,Washington Football Team,NFL,COMSTOCK FOR CONGRESS,2700,2018,Republican,0
Darcie Glazer Kassewitz,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,10000,2016,Bipartisan,1
Darcie Glazer Kassewitz,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,10000,2018,Bipartisan,1
Darcie Glazer Kassewitz,Tampa Bay Buccaneers,NFL,CHARLIE CRIST FOR CONGRESS,5600,2020,Democrat,1
Darcie Glazer Kassewitz,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,5000,2020,Bipartisan,1
Darcie Glazer Kassewitz,Tampa Bay Buccaneers,NFL,CHARLIE CRIST FOR CONGRESS,2700,2018,Democrat,1
David A. Tepper,Carolina Panthers,NFL,AMERICAN UNITY PAC,200000,2020,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,TAKE BACK THE HOUSE 2020,37500,2020,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,GRIDIRON-PAC,10000,2016,Bipartisan,0
Dean A. Spanos,Los Angeles Chargers,NFL,GRIDIRON-PAC,10000,2018,Bipartisan,0
Dean A. Spanos,Los Angeles Chargers,NFL,WINRED,5620,2020,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,MICHELLE STEEL FOR CONGRESS,5600,2020,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,"STREICKER FOR CONGRESS, INC.",5600,2020,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,FRIENDS OF JOE HECK,5400,2016,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,ISSA FOR CONGRESS,5000,2016,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,RICKPAC,5000,2016,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,DARRELL ISSA VICTORY FUND,5000,2018,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,GRIDIRON-PAC,5000,2020,Bipartisan,0
Dean A. Spanos,Los Angeles Chargers,NFL,FRIENDS OF KELLY AYOTTE INC,2700,2016,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,"JEB 2016, INC.",2700,2016,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,PERRY FOR PRESIDENT INC,2700,2016,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,DARRELL ISSA VICTORY FUND,2500,2016,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,HECK YES! VICTORY FUND,2500,2016,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,TARKANIAN FOR CONGRESS,2000,2016,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,BOUSTANY FOR SENATE INC,1000,2016,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,TED HOWZE FOR CONGRESS 2020,1000,2020,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,NICOLE FOR NEW YORK,500,2020,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,BOB ELLIOTT FOR CONGRESS,250,2020,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,MARLA LIVENGOOD FOR CONGRESS 2020,250,2020,Republican,0
Dean A. Spanos,Los Angeles Chargers,NFL,MCNERNEY FOR CONGRESS,250,2020,Democrat,0
Denise DeBartolo York,San Francisco 49ers,NFL,TIM RYAN FOR CONGRESS,5000,2016,Democrat,1
Denise DeBartolo York,San Francisco 49ers,NFL,TIM RYAN FOR CONGRESS,5000,2018,Democrat,1
Denise DeBartolo York,San Francisco 49ers,NFL,TIM RYAN FOR CONGRESS,2800,2020,Democrat,1
Denise DeBartolo York,San Francisco 49ers,NFL,TIM RYAN FOR AMERICA,2700,2020,Democrat,1
Denise DeBartolo York,San Francisco 49ers,NFL,FRIENDS OF SHERROD BROWN,2500,2018,Democrat,1
Denise DeBartolo York,San Francisco 49ers,NFL,CITIZENS FOR MICHAEL WAGER,500,2016,Democrat,1
Denise DeBartolo York,San Francisco 49ers,NFL,HILLARY FOR AMERICA,500,2016,Democrat,1
E. Stanley Kroenke and Ann Kroenke,Los Angeles Rams,NFL,HILLARY VICTORY FUND,100000,2016,Democrat,1
E. Stanley Kroenke and Ann Kroenke,Los Angeles Rams,NFL,NRSC,33400,2016,Republican,1
E. Stanley Kroenke and Ann Kroenke,Los Angeles Rams,NFL,GRIDIRON-PAC,15000,2016,Bipartisan,1
Edward Glazer,Tampa Bay Buccaneers,NFL,REPUBLICAN NATIONAL COMMITTEE,152105,2018,Republican,0
Edward Glazer,Tampa Bay Buccaneers,NFL,TRUMP VICTORY,50000,2016,Republican,0
Edward Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,5000,2016,Bipartisan,0
Edward Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,5000,2018,Bipartisan,0
Edward Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,5000,2020,Bipartisan,0
Edward Glazer,Tampa Bay Buccaneers,NFL,ELISE FOR CONGRESS,2800,2020,Republican,0
Edward Glazer,Tampa Bay Buccaneers,NFL,WINRED,2800,2020,Republican,0
Edward Glazer,Tampa Bay Buccaneers,NFL,COMSTOCK FOR CONGRESS,2700,2018,Republican,0
Edward Glazer,Tampa Bay Buccaneers,NFL,DENHAM FOR CONGRESS,2700,2018,Republican,0
